submitted_id	current_id	converted_id	current_symbol
FBgn0037191	FBgn0037191	FBgn0037191	CG14448
FBgn0036810	FBgn0036810	FBgn0036810	CG6885
FBgn0033320	FBgn0033320	FBgn0033320	CG8586
FBgn0029994	FBgn0029994	FBgn0029994	CG2254
FBgn0051156	FBgn0051156	FBgn0051156	CG31156
FBgn0004635	FBgn0004635	FBgn0004635	rho
FBgn0038397	FBgn0038397	FBgn0038397	CG10185
FBgn0027534	FBgn0262714	FBgn0262714	Sap130
FBgn0038220	FBgn0038220	FBgn0038220	CG12207
FBgn0010583	FBgn0010583	FBgn0010583	dock
FBgn0032906	FBgn0032906	FBgn0032906	RPA2
FBgn0031321	FBgn0031321	FBgn0031321	Tgt
FBgn0052568	FBgn0052568	FBgn0052568	CG32568
FBgn0085397	FBgn0085397	FBgn0085397	Fili
FBgn0032825	FBgn0263873	FBgn0263873	sick
FBgn0030674	FBgn0030674	FBgn0030674	CG8184
FBgn0061362	FBgn0061362	FBgn0061362	CG33785
FBgn0038427	FBgn0038427	FBgn0038427	ema
FBgn0033233	FBgn0033233	FBgn0033233	Kdm4A
FBgn0035787	FBgn0035787	FBgn0035787	CG8543
FBgn0033736	FBgn0033736	FBgn0033736	CG13154
FBgn0033495	FBgn0265512	FBgn0265512	mlt
FBgn0031885	FBgn0031885	FBgn0031885	Mnn1
FBgn0020503	FBgn0020503	FBgn0020503	CLIP-190
FBgn0067864	FBgn0067864	FBgn0067864	Patj
FBgn0051439	FBgn0051439	FBgn0051439	Muc96D
FBgn0035785	FBgn0035785	FBgn0035785	ppk26
FBgn0039673	FBgn0039673	FBgn0039673	CG7568
FBgn0051717	FBgn0051717	FBgn0051717	CG31717
FBgn0030748	FBgn0030748	FBgn0030748	Traf-like
FBgn0002732	FBgn0002732	FBgn0002732	E(spl)malpha-BFM
FBgn0039207	FBgn0039207	FBgn0039207	CG5789
FBgn0031751	FBgn0031751	FBgn0031751	CG9016
FBgn0024290	FBgn0264087	FBgn0264087	Slob
FBgn0250868	FBgn0250868	FBgn0250868	CG42239
FBgn0067312	FBgn0067312	FBgn0067312	CheB38a
FBgn0052816	FBgn0052816	FBgn0052816	CG32816
FBgn0040005	FBgn0040005	FBgn0040005	CG17883
FBgn0040477	FBgn0040477	FBgn0040477	cid
FBgn0039328	FBgn0039328	FBgn0039328	CHKov2
FBgn0029727	FBgn0029727	FBgn0029727	CG6978
FBgn0029524	FBgn0029524	FBgn0029524	CG3176
FBgn0000053	FBgn0000053	FBgn0000053	ade3
FBgn0032365	FBgn0032365	FBgn0032365	CG14929
FBgn0030038	FBgn0030038	FBgn0030038	CG1440
FBgn0052712	FBgn0052712	FBgn0052712	CG32712
FBgn0038481	FBgn0038481	FBgn0038481	CG17475
FBgn0034162	FBgn0034162	FBgn0034162	CG6426
FBgn0005632	FBgn0005632	FBgn0005632	faf
FBgn0034860	FBgn0034860	FBgn0034860	CG9812
FBgn0259979	FBgn0259979	FBgn0259979	CG17337
FBgn0051140	FBgn0051140	FBgn0051140	CG31140
FBgn0038959	FBgn0038959	FBgn0038959	CG13856
FBgn0034138	FBgn0034138	FBgn0034138	RpS15
FBgn0003388	FBgn0003388	FBgn0003388	shd
FBgn0034945	FBgn0034945	FBgn0034945	CG10904
FBgn0033272	FBgn0033272	FBgn0033272	RagC-D
FBgn0050428	FBgn0050428	FBgn0050428	CG30428
FBgn0033556	FBgn0033556	FBgn0033556	CG12343
FBgn0027341	FBgn0027341	FBgn0027341	Gfat1
FBgn0261804	FBgn0261804	FBgn0261804	CG42750
FBgn0029606	FBgn0029606	FBgn0029606	CG14052
FBgn0036465	FBgn0036465	FBgn0036465	Rpn12R
FBgn0037100	FBgn0037100	FBgn0037100	CapaR
FBgn0027610	FBgn0027610	FBgn0027610	Dic1
FBgn0038834	FBgn0038834	FBgn0038834	RpS30
FBgn0027550	FBgn0027550	FBgn0027550	CG6495
FBgn0039198	FBgn0039198	FBgn0039198	CG5768
FBgn0037109	FBgn0037109	FBgn0037109	MED1
FBgn0030992	FBgn0030992	FBgn0030992	CG33253
FBgn0019686	FBgn0019686	FBgn0019686	lok
FBgn0052251	FBgn0052251	FBgn0052251	Claspin
FBgn0031987	FBgn0031987	FBgn0031987	CG12375
FBgn0034548	FBgn0034548	FBgn0034548	CG13443
FBgn0053217	FBgn0053217	FBgn0053217	CG33217
FBgn0038092	FBgn0038092	FBgn0038092	beat-Vb
FBgn0053627	FBgn0053627	FBgn0053627	CG33627
FBgn0037010	FBgn0037010	FBgn0037010	CG4825
FBgn0037895	FBgn0037895	FBgn0037895	CG6723
FBgn0034477	FBgn0034477	FBgn0034477	CG13872
FBgn0029705	FBgn0029705	FBgn0029705	CG12693
FBgn0013772	FBgn0013772	FBgn0013772	Cyp6a8
FBgn0053178	FBgn0053178	FBgn0053178	CG33178
FBgn0027559	FBgn0283467	FBgn0283467	Pol32
FBgn0038389	FBgn0038389	FBgn0038389	CG5516
FBgn0031426	FBgn0031426	FBgn0031426	CG18641
FBgn0038760	FBgn0038760	FBgn0038760	MED25
FBgn0052450	FBgn0052450	FBgn0052450	CG32450
FBgn0001187	FBgn0001187	FBgn0001187	Hex-C
FBgn0028671	FBgn0028671	FBgn0028671	Vha100-1
FBgn0054043	FBgn0054043	FBgn0054043	CG34043
FBgn0015614	FBgn0015614	FBgn0015614	CanB2
FBgn0037009	FBgn0037009	FBgn0037009	CG5104
FBgn0032359	FBgn0283678	FBgn0283678	Osi21
FBgn0028717	FBgn0028717	FBgn0028717	Lnk
FBgn0032450	FBgn0032450	FBgn0032450	CG5776
FBgn0085472	FBgn0085472	FBgn0085472	CG34443
FBgn0033327	FBgn0033327	FBgn0033327	PGRP-SC1b
FBgn0020299	FBgn0020299	FBgn0020299	stumps
FBgn0015773	FBgn0015773	FBgn0015773	NetA
FBgn0034537	FBgn0034537	FBgn0034537	DMAP1
FBgn0260745	FBgn0260745	FBgn0260745	mfas
FBgn0050469	FBgn0050469	FBgn0050469	Ir52b
FBgn0030286	FBgn0030286	FBgn0030286	CG1657
FBgn0037472	FBgn0037472	FBgn0037472	CG10098
FBgn0051933	FBgn0051933	FBgn0051933	CG31933
FBgn0051054	FBgn0051054	FBgn0051054	CR31054
FBgn0031127	FBgn0031127	FBgn0031127	CG1835
FBgn0029133	FBgn0029133	FBgn0029133	REG
FBgn0260986	FBgn0260986	FBgn0260986	mei-38
FBgn0030503	FBgn0030503	FBgn0030503	Tango2
FBgn0028491	FBgn0028491	FBgn0028491	CG2930
FBgn0039359	FBgn0039359	FBgn0039359	RpL27
FBgn0039695	FBgn0262112	FBgn0262112	sro
FBgn0030447	FBgn0030447	FBgn0030447	CG2200
FBgn0004625	FBgn0262738	FBgn0262738	norpA
FBgn0000241	FBgn0000241	FBgn0000241	bw
FBgn0083985	FBgn0083985	FBgn0083985	CG34149
FBgn0030855	FBgn0030855	FBgn0030855	CG5800
FBgn0261241	FBgn0261241	FBgn0261241	Vps16A
FBgn0259239	FBgn0259239	FBgn0259239	CG42337
FBgn0015268	FBgn0015268	FBgn0015268	Nap1
FBgn0032001	FBgn0032001	FBgn0032001	CG8360
FBgn0052758	FBgn0052758	FBgn0052758	CG32758
FBgn0032208	FBgn0032208	FBgn0032208	CG5604
FBgn0031454	FBgn0031454	FBgn0031454	CG9960
FBgn0003742	FBgn0003742	FBgn0003742	tra2
FBgn0038199	FBgn0038199	FBgn0038199	CCHa1
FBgn0037042	FBgn0037042	FBgn0037042	CG12984
FBgn0010217	FBgn0010217	FBgn0010217	ATPsynbeta
FBgn0002121	FBgn0002121	FBgn0002121	l(2)gl
FBgn0035812	FBgn0035812	FBgn0035812	CG7457
FBgn0032940	FBgn0032940	FBgn0032940	Mondo
FBgn0040377	FBgn0040377	FBgn0040377	Vha36-3
FBgn0011834	FBgn0011834	FBgn0011834	Ser6
FBgn0033392	FBgn0033392	FBgn0033392	CG8027
FBgn0026427	FBgn0026427	FBgn0026427	Su(var)2-HP2
FBgn0063491	FBgn0063491	FBgn0063491	GstE9
FBgn0053632	FBgn0053632	FBgn0053632	CG33632
FBgn0032502	FBgn0264308	FBgn0264308	CG43778
FBgn0032502	FBgn0264301	FBgn0264301	CG43779
FBgn0037970	FBgn0037970	FBgn0037970	GC2
FBgn0085327	FBgn0085327	FBgn0085327	CG34298
FBgn0037648	FBgn0037648	FBgn0037648	CG11975
FBgn0033154	FBgn0033154	FBgn0033154	CG1850
FBgn0045499	FBgn0265138	FBgn0265138	Gr22c
FBgn0259184	FBgn0259184	FBgn0259184	CG42288
FBgn0031822	FBgn0031822	FBgn0031822	CG9548
FBgn0034543	FBgn0034543	FBgn0034543	galla-1
FBgn0259989	FBgn0259989	FBgn0259989	CG42486
FBgn0036731	FBgn0036731	FBgn0036731	CG6333
FBgn0004580	FBgn0004580	FBgn0004580	Cbp53E
FBgn0036849	FBgn0036849	FBgn0036849	CG14079
FBgn0036825	FBgn0036825	FBgn0036825	RpL26
FBgn0031109	FBgn0031109	FBgn0031109	Obp19a
FBgn0034655	FBgn0034655	FBgn0034655	CG10307
FBgn0030990	FBgn0030990	FBgn0030990	CG7556
FBgn0005617	FBgn0005617	FBgn0005617	msl-1
FBgn0259173	FBgn0259173	FBgn0259173	corn
FBgn0030764	FBgn0030764	FBgn0030764	CG9777
FBgn0052457	FBgn0052457	FBgn0052457	CG32457
FBgn0036212	FBgn0036212	FBgn0036212	CG11597
FBgn0261831	FBgn0261831	FBgn0261831	CG42763
FBgn0027514	FBgn0027514	FBgn0027514	CG1024
FBgn0023530	FBgn0023530	FBgn0023530	CG3740
FBgn0033855	FBgn0033855	FBgn0033855	link
FBgn0032445	FBgn0032445	FBgn0032445	CG6153
FBgn0036135	FBgn0036135	FBgn0036135	mRpL2
FBgn0053630	FBgn0053630	FBgn0053630	CG33630
FBgn0030586	FBgn0030586	FBgn0030586	CG12539
FBgn0026313	FBgn0026313	FBgn0026313	X11L
FBgn0031263	FBgn0031263	FBgn0031263	Tspo
FBgn0086133	FBgn0261955	FBgn0261955	kdn
FBgn0036556	FBgn0036556	FBgn0036556	CG5830
FBgn0037590	FBgn0037590	FBgn0037590	Or85b
FBgn0032633	FBgn0032633	FBgn0032633	Lrch
FBgn0036618	FBgn0036618	FBgn0036618	Cpr72Eb
FBgn0047338	FBgn0047338	FBgn0047338	CG32148
FBgn0015765	FBgn0015765	FBgn0015765	p38a
FBgn0039188	FBgn0039188	FBgn0039188	Golgin84
FBgn0028399	FBgn0028399	FBgn0028399	TMS1
FBgn0037879	FBgn0037879	FBgn0037879	scpr-C
FBgn0250907	FBgn0250907	FBgn0250907	Cht10
FBgn0086362	FBgn0086362	FBgn0086362	spn-F
FBgn0083984	FBgn0083984	FBgn0083984	CG34148
FBgn0260767	FBgn0260767	FBgn0260767	CG42565
FBgn0051106	FBgn0051106	FBgn0051106	CG31106
FBgn0035542	FBgn0035542	FBgn0035542	DOR
FBgn0011576	FBgn0011576	FBgn0011576	Cyp4d2
FBgn0032626	FBgn0032626	FBgn0032626	CG12620
FBgn0053494	FBgn0053494	FBgn0053494	CG33494
FBgn0033434	FBgn0033434	FBgn0033434	CG1902
FBgn0039797	FBgn0039797	FBgn0039797	CG1340
FBgn0040625	unknown ID	-	-
FBgn0052580	FBgn0052580	FBgn0052580	Muc14A
FBgn0036124	FBgn0036124	FBgn0036124	CG7839
FBgn0034106	FBgn0034106	FBgn0034106	CG9068
FBgn0005634	FBgn0265434	FBgn0265434	zip
FBgn0053937	FBgn0266410	FBgn0266410	CG45050
