flybase_gene_id,flybase_symbol,poised.toll10b_02to04h,poised.mef2_06to08h,poised.mef2_08to10h,poised.mef2_10to12h,poised.mef2_14to17h,PcG_repressed.toll10b_02to04h,PcG_repressed.mef2_06to08h,PcG_repressed.mef2_08to10h,PcG_repressed.mef2_10to12h,PcG_repressed.mef2_14to17h,PcG_repressed.elav_14to17h,Poised_opening_set,Poised_constant_set,Poised_closing_set,Poised_regulated_set,Non_poised_regulated_set,Differential_K27_muscle,Differential_k27_neuron,Balanced_toll10b
FBgn0000008,a,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000014,abd-A,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
FBgn0000015,Abd-B,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
FBgn0000017,Abl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000018,abo,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000022,ac,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
FBgn0000024,Ace,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FBgn0000028,acj6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
FBgn0000032,Acph-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000036,nAcRalpha-96Aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000037,mAcR-60C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000038,nAcRbeta-64B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000039,nAcRalpha-96Ab,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FBgn0000042,Act5C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000043,Act42A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000044,Act57B,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
FBgn0000045,Act79B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000046,Act87E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000047,Act88F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000052,ade2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000053,ade3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000054,Adf1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000055,Adh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000056,Adhr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000057,adp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000061,al,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0000063,ald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000064,Ald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000071,Ama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000075,amd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000077,amx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000078,Amy-d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000079,Amy-p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000083,AnnIX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000084,AnnX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0000092,CG2650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000097,aop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000099,ap,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000100,RpLP0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000108,Appl,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0000109,Aprt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000114,aret,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000115,Arf72A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
