fb_gene_id,fb_symbol, early_FPKM , late_FPKM , epidermis_FPKM , glia_FPKM , gut_FPKM , muscle_FPKM , neuron_FPKM , trachea_FPKM ,polii.embryo14,polii.embryo17,polii.larvae,polii.epidermis,polii.glia,polii.gut,polii.muscle,polii.neuron,polii.trachea,min_tissue_tss_ratio,max_tissue_tss_ratio,tbp.embryo14,tbp.embryo17,tfiib.embryo14,tfiib.embryo17,tfiif.embryo14,tfiif.embryo17,below_bg_tissues,above_bg_tissues,polii_group_tissues,whole_embryo_pol_status,intact_diff_expression
FBgn0261451,trol, 0.9 , 262.3 , 397.5 , 473.6 , 325.4 , 617.0 , 399.3 , 395.5 ,4.73,5.44,5.08,3.85,1.22,3.57,3.90,1.41,2.94,1.22,3.90,4.54,2.11,2.68,4.53,3.36,3.62,0,6,Elongation regulated,Above 2-fold,No
FBgn0050101,CG30101, 0.9 , 632.9 , 516.7 , 477.2 , 451.1 , 315.8 , 468.7 , 380.3 ,1.66,-1.74,-2.71,2.92,-1.15,1.87,0.08,-0.44,-0.11,-1.15,2.92,1.27,-0.60,0.54,-0.28,1.63,0.09,3,2,Recruitment regulated,Above 2-fold,Yes
FBgn0036108,Cpr67Fa1, 0.7 , 58.9 , 592.2 , 243.7 , 353.9 , 128.2 , 385.5 , 190.7 ,1.20,-1.23,-0.46,1.74,-1.00,1.52,-0.31,-0.59,-0.17,-1.00,1.74,2.48,-0.06,2.15,0.27,3.41,1.73,4,2,Recruitment regulated,Above 2-fold,Yes
FBgn0033158,CG12164, 0.4 , 331.3 , 326.9 , 348.2 , 240.2 , 239.6 , 382.3 , 353.0 ,2.43,-0.75,-1.65,2.99,-0.12,3.05,0.86,0.90,1.01,-0.12,3.05,1.52,-0.19,1.65,0.36,2.02,0.51,1,3,Recruitment regulated,Above 2-fold,Yes
FBgn0035612,CG10625, 1.0 , 221.9 , 581.9 , 437.4 , 537.9 , 321.3 , 375.1 , 317.5 ,3.69,2.77,3.57,3.91,-0.23,3.13,0.43,-0.50,0.83,-0.50,3.91,4.42,0.68,3.04,2.38,4.23,2.46,2,2,Recruitment regulated,Above 2-fold,Yes
FBgn0052694,CG32694, 0.4 , 274.3 , 508.1 , 380.1 , 522.9 , 283.1 , 374.4 , 448.8 ,3.38,2.52,2.00,4.09,-0.47,3.01,0.98,-0.14,2.25,-0.47,4.09,3.52,-0.54,2.30,1.17,3.18,1.13,2,3,Recruitment regulated,Above 2-fold,Yes
FBgn0043792,CG30427, 0.8 , 158.7 , 289.0 , 388.2 , 259.6 , 185.3 , 359.0 , 248.4 ,3.74,2.55,2.74,4.06,-0.13,3.00,0.48,-0.15,1.05,-0.15,4.06,3.31,-0.18,2.13,2.13,3.05,2.41,2,3,Recruitment regulated,Above 2-fold,Yes
FBgn0033679,CG8888, 0.5 , 361.5 , 312.2 , 193.2 , 137.7 , 452.2 , 357.9 , 159.0 ,1.31,-0.40,0.02,-2.18,-1.09,-1.47,1.44,-1.42,0.45,-2.18,1.44,1.75,-0.19,0.93,0.59,1.33,-0.05,4,1,Recruitment regulated,Above 2-fold,Yes
FBgn0030390,CG15731, 0.8 , 495.1 , 360.4 , 458.1 , 298.6 , 276.9 , 245.2 , 264.7 ,-0.13,-2.12,-2.29,3.37,-0.71,2.66,0.92,0.07,0.14,-0.71,3.37,1.05,-0.66,0.10,0.13,0.42,-0.09,1,2,Recruitment regulated,  Below background,Yes
FBgn0037430,Osi20, 0.9 , 398.1 , 399.2 , 318.0 , 158.1 , 273.7 , 183.5 , 784.0 ,-0.21,-2.60,-2.68,-1.04,-1.44,-0.57,-1.48,-1.07,2.18,-1.48,2.18,0.61,-0.12,-0.30,-0.58,0.33,-0.57,5,1,Recruitment regulated,  Below background,Yes
