"","identified_tissue","Freq","single_cell_cluster"
"0.1","apoptotic amnioserosa",1,"0.1"
"0.2","dorsal imaginal precursor",1,"0.2"
"0.3","embryonic Bolwig's organ",1,"0.3"
"0.4","embryonic brain",298,"0.4"
"0.5","embryonic central brain glia",1,"0.5"
"0.6","embryonic central nervous system",2,"0.6"
"0.7","embryonic/larval dorsal vessel",1,"0.7"
"0.8","embryonic/larval garland cell",7,"0.8"
"0.9","embryonic/larval muscle system",1,"0.9"
"0.10","embryonic/larval somatic muscle",1,"0.10"
"0.11","embryonic/larval visceral muscle",1,"0.11"
"0.12","embryonic midgut",1,"0.12"
"0.13","embryonic salivary gland",2,"0.13"
"0.14","embryonic tracheole",1,"0.14"
"0.15","germ cell",1,"0.15"
"0.16","gonad",1,"0.16"
"0.17","lateral cord",1,"0.17"
"0.18","lateral cord glia",6,"0.18"
"0.19","ventral midline",8,"0.19"
"0.20","ventral nerve cord",222,"0.20"
"1.1","amnioserosa",1,"1.1"
"1.2","dorsal prothoracic pharyngeal muscle",32,"1.2"
"1.3","embryonic corpus allatum",1,"1.3"
"1.4","embryonic gastric caecum",3,"1.4"
"1.5","embryonic hypocerebral ganglion",1,"1.5"
"1.6","embryonic/larval fat body",294,"1.6"
"1.7","embryonic/larval muscle system",3,"1.7"
"1.8","embryonic leading edge cell",1,"1.8"
"1.9","embryonic main segment of Malpighian tubule",1,"1.9"
"1.10","embryonic midgut",89,"1.10"
"1.11","embryonic salivary gland",4,"1.11"
"1.12","gonad",5,"1.12"
"1.13","yolk nuclei",1,"1.13"
"2.1","dorsal prothoracic pharyngeal muscle",13,"2.1"
"2.2","embryonic brain",2,"2.2"
"2.3","embryonic central brain",1,"2.3"
"2.4","embryonic corpus allatum",1,"2.4"
"2.5","embryonic/larval dorsal vessel",2,"2.5"
"2.6","embryonic/larval fat body",205,"2.6"
"2.7","embryonic/larval garland cell",1,"2.7"
"2.8","embryonic/larval muscle system",3,"2.8"
"2.9","embryonic/larval oenocyte",2,"2.9"
"2.10","embryonic/larval somatic muscle",2,"2.10"
"2.11","embryonic Malpighian tubule",1,"2.11"
"2.12","embryonic midgut",115,"2.12"
"2.13","embryonic midgut interstitial cell",1,"2.13"
"2.14","embryonic proventriculus outer layer",1,"2.14"
"2.15","embryonic salivary gland",19,"2.15"
"2.16","embryonic salivary gland body",12,"2.16"
"2.17","gonad",1,"2.17"
"2.18","lateral cord",1,"2.18"
"2.19","lateral cord surface glia",1,"2.19"
"2.20","ring gland",1,"2.20"
"2.21","ventral nerve cord",1,"2.21"
"2.22","visceral muscle of esophagus",1,"2.22"
"2.23","yolk nuclei",5,"2.23"
"3.1","adult foregut precursor",1,"3.1"
"3.2","crystal cell",1,"3.2"
"3.3","dorsal imaginal precursor",2,"3.3"
"3.4","embryonic esophagus",24,"3.4"
"3.5","embryonic foregut",1,"3.5"
"3.6","embryonic head epidermis",1,"3.6"
"3.7","embryonic/larval dorsal branch",40,"3.7"
"3.8","embryonic/larval dorsal trunk",35,"3.8"
"3.9","embryonic/larval dorsal vessel",1,"3.9"
"3.10","embryonic/larval posterior spiracle",5,"3.10"
"3.11","embryonic/larval tracheal system",103,"3.11"
"3.12","embryonic/larval visceral branch",10,"3.12"
"3.13","embryonic salivary gland",1,"3.13"
"3.14","embryonic salivary gland common duct",1,"3.14"
"3.15","embryonic ventral epidermis",3,"3.15"
"3.16","ventral imaginal precursor",3,"3.16"
"3.17","ventral nerve cord",1,"3.17"
"3.18","yolk nuclei",1,"3.18"
"4.1","dorsal prothoracic pharyngeal muscle",1,"4.1"
"4.2","embryonic midgut",176,"4.2"
"4.3","embryonic midgut chamber",23,"4.3"
"4.4","embryonic salivary gland",1,"4.4"
"5.1","apoptotic amnioserosa",3,"5.1"
"5.2","embryonic Bolwig's organ",1,"5.2"
"5.3","embryonic brain",139,"5.3"
"5.4","embryonic central brain pars intercerebralis",3,"5.4"
"5.5","embryonic central brain surface glia",3,"5.5"
"5.6","embryonic foregut",1,"5.6"
"5.7","embryonic/larval garland cell",2,"5.7"
"5.8","embryonic/larval muscle system",4,"5.8"
"5.9","embryonic/larval somatic muscle",1,"5.9"
"5.10","embryonic midgut",8,"5.10"
"5.11","embryonic optic lobe",7,"5.11"
