"","CNS","Crystal cells","Dorsal vessel","Epidermis","Fatbody","Gastric caecum","Germ cells","Glia","Malphigian tubules","Midgut","Muscle","Plasmocytes","PNS","Ring glands","Salivary glands","Trachea"
"Myo81F",0.00801727994825826,0,0,0.00227765726475562,0.00113733248740306,0,0.00433555646216858,0,0,0.0022602645370906,0.00270437356702006,0.00658589812556611,0.00899791857261727,0.0188349040463945,0,0.000914613951151479
"CR41571",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CR12798",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CR46123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CR46122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CR40182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pzl",0.00211247640987505,0,0.00230329301802787,0,0,0,0,0,0.00125981902951605,0,0.00155670564968955,0,0.00038446820722821,0,0,0.00287510653414778
"CR45220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"spok",0.000305851745559312,0,0.00896622959286145,0.0039998933700036,0.000575203223222934,0.00282670383593582,0.00358210452222785,0,0,0.00151987482846284,0,0.0112843734703167,0.000813164363716067,20.4149055448325,0,0.00304563291031647
"Parp",0.999971711003295,0.329014444657697,0.645602417908571,0.494223389906961,0.320056948787417,0.55051182296392,1.26905155544712,0.870369683018984,0.434586522938228,0.795598104656735,0.343860445634337,0.721669675968807,0.851805844469751,0.796091945465717,0,0.22348780918907
"Alg-2",1.82455299825614,1.35722636797183,2.59660086016725,2.19604290046787,0.95663875645464,2.62939998763335,2.27137287288868,5.12517945045442,2.18766676224991,2.67960635359914,0.758989405028016,1.78921440090107,3.02287182727509,3.75591499262632,0.722828835558927,1.59863745638505
"CR46141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tim17b",4.13871428265135,2.06208272580184,4.19373283574755,2.36109123297703,3.6396012239956,5.68246703743512,3.70360722160479,4.40985650043065,4.64178237393795,5.05133012797741,2.59302981768819,3.16453310191658,3.46634554921551,5.00469514533007,0.997177179313931,1.43953840976112
