"","gene","var.in.ht","mean_exp_ht","var.in.ht_res","group"
"1","128up",0.8899280859322,0.463633936317987,-0.340616809336185,"housekeeping"
"2","140up",1.03653197560756,0.355359697449522,-0.308392783677331,"others"
"3","18SrRNA-Psi:CR41602",0.688649752122255,3.28154228905946,-0.08889571697746,"others"
"4","18w",1.23581824350478,1.20862608265848,0.222775515868392,"others"
"5","26-29-p",4.5721923900549,0.151753062954135,3.18056541696203,"others"
"6","28SrRNA-Psi:CR40741",1.50565926512475,0.270839829238276,0.140287098382017,"others"
"7","28SrRNA-Psi:CR41609",1.33302715495421,0.253483423070357,-0.0136644233865735,"others"
"8","28SrRNA-Psi:CR45855",1.33860287790383,0.414473411443409,0.05284205803745,"others"
"9","28SrRNA-Psi:CR45859",0.83160258637849,2.93803229707872,0.0351470371275174,"others"
"10","28SrRNA-Psi:CR45860",1.78283962462062,0.199160814907939,0.373642875385358,"others"
"11","2mit",1.0326611299429,1.22951238708979,0.020271187334743,"others"
"12","4E-T",0.917805025409114,0.292462222422038,-0.394931035701105,"others"
"13","5.8SrRNA-Psi:CR45863",1.12105828373639,0.353957989110401,-0.223879650943343,"others"
"14","5-HT1A",0.745253545100908,2.32780490517305,-0.115431567898616,"Bjoern evelopmental paused"
"15","5-HT1B",1.34381346170495,0.117632493725527,-0.0520710961817448,"others"
"16","5-HT2A",1.84308017365118,0.249150673979352,0.506463949497199,"others"
"17","5-HT7",1.15006827149776,0.19567076403536,-0.264466142188966,"others"
"18","5PtaseI",0.705807075351317,0.684094468353873,-0.495003407651922,"others"
"19","7B2",1.22626667188121,1.50652100206561,0.21845489868065,"others"
"20","825-Oak",1.03987415313397,3.37777945865068,0.259098286487134,"0 tissues"
"21","a",1.80426153914859,0.153126132494087,0.411791017542789,"Bjoern evelopmental paused"
"22","a10",2.4282676613404,0.136085543646444,1.01145711048771,"others"
"23","A16",0.889519445706745,0.259214545540654,-0.471809369310864,"others"
"24","Aac11",0.490967954433982,1.89242342146755,-0.377753927532812,"others"
"25","AANATL2",1.19027569172152,1.06906575150604,0.189043937201273,"0 tissues"
