"","test_type","pvalue","enrichment","element","group_name"
"1","Enrichment",1.69715023751747e-05,2.04271766319697,"DPE","late_genes
(1526)"
"2","Depletion",4.72905305769164e-44,0.271499577530796,"DRE","late_genes
(1526)"
"3","Enrichment",1.24175612803799e-20,1.62351441685141,"GAGA","late_genes
(1526)"
"4","Enrichment",1.43821709938673e-77,2.12950855821672,"Inr","late_genes
(1526)"
"5","Enrichment",2.11492701783777e-05,2.12137099047297,"MTE","late_genes
(1526)"
"6","Enrichment",1.01343479055681e-06,1.78043947792016,"PB","late_genes
(1526)"
"7","Enrichment",2.3605580617556e-63,2.93153578652637,"TATA","late_genes
(1526)"
"8","Depletion",5.25059900228815e-08,0.157078820646154,"Motif1","late_genes
(1526)"
"9","Depletion",3.8169429212745e-17,0.195844259930818,"Motif6","late_genes
(1526)"
"10","Depletion",5.85277913372391e-16,0.474652370209424,"Motif7","late_genes
(1526)"
"11","Depletion",0.00162955602100622,0.796005443678758,"BREd","late_genes
(1526)"
"12","Enrichment",0.128906141300806,1.48975548152503,"BREu","late_genes
(1526)"
"13","Depletion",0.0504951870737119,0.394579008073818,"DPE","hk_genes
(647)"
"14","Enrichment",3.27536790915698e-17,1.87351229768715,"DRE","hk_genes
(647)"
"15","Depletion",1.36756482456931e-06,0.552540620861195,"GAGA","hk_genes
(647)"
"16","Depletion",4.7877216767779e-07,0.587634089991669,"Inr","hk_genes
(647)"
"17","Depletion",0.0382489415834936,0.306294207180589,"MTE","hk_genes
(647)"
"18","Depletion",0.00593511357305831,0.424163522680978,"PB","hk_genes
(647)"
"19","Depletion",5.22359854948509e-08,0.270695848961053,"TATA","hk_genes
(647)"
"20","Enrichment",0.0110367830948903,1.77753165422375,"Motif1","hk_genes
(647)"
"21","Enrichment",4.48306335019164e-07,2.009840640376,"Motif6","hk_genes
(647)"
"22","Enrichment",9.48008913467779e-07,1.58310525828673,"Motif7","hk_genes
(647)"
"23","Enrichment",0.0231653576406864,1.23484291810084,"BREd","hk_genes
(647)"
"24","Enrichment",0.310878537412971,1.41964934121797,"BREu","hk_genes
(647)"
