"","test_type","pvalue","enrichment","element","group_name"
"1","Depletion",0.263641945340409,0.654423720707795,"DPE","0
(527)"
"2","Depletion",4.43892332146017e-13,0.319051963586968,"DRE","0
(527)"
"3","Depletion",0.139885767294058,0.870588392869102,"GAGA","0
(527)"
"4","Enrichment",4.31468273086473e-11,1.69338945689063,"Inr","0
(527)"
"5","Depletion",0.392974808576473,0.762000222741954,"MTE","0
(527)"
"6","Depletion",0.0813480291062837,0.602992046180625,"PB","0
(527)"
"7","Enrichment",1.56268605159325e-94,5.99360223626449,"TATA","0
(527)"
"8","Depletion",0.000146302827457826,0,"Motif1","0
(527)"
"9","Depletion",1.94668699470056e-07,0.133931018282895,"Motif6","0
(527)"
"10","Depletion",1.481059480774e-06,0.450109369603474,"Motif7","0
(527)"
"11","Depletion",0.0872514779965571,0.822870063020157,"BREd","0
(527)"
"12","Enrichment",0.0252812947168467,2.6488579171506,"BREu","0
(527)"
"13","Depletion",0.377495882386768,0.626413366903182,"DPE","1
(268)"
"14","Depletion",3.092084703746e-09,0.239005598843359,"DRE","1
(268)"
"15","Enrichment",0.00884123513985487,1.40349617625754,"GAGA","1
(268)"
"16","Enrichment",1.40377131834828e-08,1.84247295609061,"Inr","1
(268)"
"17","Enrichment",0.0063246555177747,2.91754170886413,"MTE","1
(268)"
"18","Enrichment",0.00021512701388524,2.59732371642783,"PB","1
(268)"
"19","Enrichment",9.48164613908302e-09,2.64291838215204,"TATA","1
(268)"
"20","Depletion",0.0103412546831973,0,"Motif1","1
(268)"
"21","Depletion",0.000511597065424929,0.170931416329921,"Motif6","1
(268)"
"22","Depletion",0.000781974961459087,0.466747653693874,"Motif7","1
(268)"
"23","Depletion",0.0296791986097241,0.665126619032635,"BREd","1
(268)"
"24","Depletion",0.302039069984798,0,"BREu","1
(268)"
"25","Enrichment",0.255694386192561,1.71264080100125,"DPE","2
(147)"
"26","Depletion",5.67034210867465e-08,0.0968076263242603,"DRE","2
(147)"
"27","Enrichment",0.00298551915943092,1.65213564365305,"GAGA","2
(147)"
"28","Enrichment",4.71481705614041e-08,2.12548500635285,"Inr","2
(147)"
"29","Enrichment",0.00401260689164401,3.98834159137278,"MTE","2
(147)"
"30","Enrichment",0.0872080531908014,1.84105018355148,"PB","2
(147)"
"31","Enrichment",0.231727693118471,1.29242869163533,"TATA","2
(147)"
"32","Depletion",0.082304654393573,0,"Motif1","2
(147)"
"33","Depletion",0.010558356964576,0.155777921974432,"Motif6","2
(147)"
"34","Depletion",0.0111823357539067,0.458090032185095,"Motif7","2
(147)"
"35","Depletion",0.388133608495507,0.893290621604861,"BREd","2
(147)"
"36","Enrichment",0.480043621648034,1.54047056174716,"BREu","2
(147)"
"37","Enrichment",0.0522797479230103,2.84934929724102,"DPE","3
(119)"
"38","Depletion",0.000111847133198397,0.241590713481782,"DRE","3
(119)"
"39","Enrichment",6.82917605141814e-06,2.19451531542039,"GAGA","3
(119)"
"40","Enrichment",2.80386257329892e-13,2.7582400117839,"Inr","3
(119)"
"41","Depletion",0.296077429965715,0,"MTE","3
(119)"
"42","Enrichment",0.189771024568298,1.64088543540303,"PB","3
(119)"
"43","Enrichment",0.373585008011658,1.17285564293214,"TATA","3
(119)"
"44","Depletion",0.135426863270572,0,"Motif1","3
(119)"
"45","Depletion",0.0325300953197407,0.194377761047742,"Motif6","3
(119)"
"46","Depletion",0.000244073064927551,0.163314019059667,"Motif7","3
(119)"
"47","Depletion",0.0563208778891114,0.557318485160555,"BREd","3
(119)"
"48","Enrichment",0.407612667601095,1.92218008147212,"BREu","3
(119)"
"49","Enrichment",0.0370894256660539,3.18788584740827,"DPE","4
(103)"
"50","Depletion",0.0137125644399053,0.473015481099232,"DRE","4
(103)"
"51","Enrichment",0.00133553772855015,1.86003773359214,"GAGA","4
(103)"
"52","Enrichment",1.02852235064505e-06,2.19577332240451,"Inr","4
(103)"
