"","group_name","seqnames","start","end","width","strand","fb_tx_id","fb_gene_id","fb_symbol","gene_type","start_r","end_r","region_ip","signal"
"1","0","chr2L",786153,790798,4646,"-","FBtr0078042","FBgn0000442","Pkg21D","mRNA",790799,790948,849.230465739965,849.230465739965
"2","0","chr3L",21297184,21297803,620,"-","FBtr0344634","FBgn0000551","Edg78E","mRNA",21297804,21297953,116.93784725666,116.93784725666
"3","0","chr2R",15218837,15220329,1493,"-","FBtr0087399","FBgn0001187","Hex-C","mRNA",15220330,15220479,263.314594805241,263.314594805241
"4","0","chr2R",8691448,8692347,900,"+","FBtr0088704","FBgn0001285","Jon44E","mRNA",8691298,8691447,74.4149931073189,74.4149931073189
"5","0","chr2R",8437647,8438495,849,"+","FBtr0088744","FBgn0002535","Lcp4","mRNA",8437497,8437646,449.760957300663,449.760957300663
"6","0","chr3L",66430,68995,2566,"+","FBtr0072463","FBgn0002564","Lsp1gamma","mRNA",66280,66429,227.333717882633,227.333717882633
"7","0","chr2R",8453627,8455782,2156,"+","FBtr0088747","FBgn0002569","Mal-A2","mRNA",8453477,8453626,708.986817121506,708.986817121506
"8","0","chr2R",8449664,8451904,2241,"-","FBtr0088759","FBgn0002570","Mal-A1","mRNA",8451905,8452054,630.483086109161,630.483086109161
"9","0","chr3R",13611866,13612433,568,"-","FBtr0082860","FBgn0003060","CG9757","mRNA",13612434,13612583,1292.44943356514,1292.44943356514
"10","0","chrX",3248600,3249289,690,"-","FBtr0070537","FBgn0003086","Pig1","mRNA",3249290,3249439,80.9569712281227,80.9569712281227
"11","0","chr3R",29922216,29923052,837,"+","FBtr0085502","FBgn0003357","Jon99Ciii","mRNA",29922066,29922215,239.191052079201,239.191052079201
"12","0","chr3R",29925226,29926189,964,"-","FBtr0085511","FBgn0003358","Jon99Ci","mRNA",29926190,29926339,512.318611860275,512.318611860275
"13","0","chr2R",11344260,11345119,860,"-","FBtr0088161","FBgn0003863","alphaTry","mRNA",11345120,11345269,534.397785305977,534.397785305977
"14","0","chr3L",1207371,1207856,486,"+","FBtr0072628","FBgn0004425","LysB","mRNA",1207221,1207370,142.696882873774,142.696882873774
"15","0","chr3L",1210717,1211196,480,"-","FBtr0072634","FBgn0004427","LysD","mRNA",1211197,1211346,115.302352428436,115.302352428436
"16","0","chr3L",1212827,1213406,580,"+","FBtr0072630","FBgn0004428","LysE","mRNA",1212677,1212826,694.267360448837,694.267360448837
"17","0","chr3L",1227747,1228238,492,"+","FBtr0072631","FBgn0004430","LysS","mRNA",1227597,1227746,195.032706409693,195.032706409693
"18","0","chr3R",17610856,17611511,656,"-","FBtr0083502","FBgn0004554","Edg91","mRNA",17611512,17611661,105.48938652873,105.48938652873
"19","0","chr3R",6692732,6693527,796,"+","FBtr0081690","FBgn0004780","Ccp84Ad","mRNA",6692582,6692731,122.662077516317,122.662077516317
"20","0","chr3R",6701968,6702877,910,"-","FBtr0081692","FBgn0004782","Ccp84Ab","mRNA",6702878,6703027,262.087971299887,262.087971299887
"21","0","chr3R",6704084,6704903,820,"+","FBtr0081691","FBgn0004783","Ccp84Aa","mRNA",6703934,6704083,5.72423022985458,5.72423022985458
