"","group_name","fb_gene_id","width"
"1","0","FBgn0000442",4646
"2","0","FBgn0000551",1041
"3","0","FBgn0001187",1493
"4","0","FBgn0001285",1397
"5","0","FBgn0002535",849
"6","0","FBgn0002564",2566
"7","0","FBgn0002569",2156
"8","0","FBgn0002570",2241
"9","0","FBgn0003060",851
"10","0","FBgn0003086",690
"11","0","FBgn0003357",1240
"12","0","FBgn0003358",964
"13","0","FBgn0003863",860
"14","0","FBgn0004425",611
"15","0","FBgn0004427",480
"16","0","FBgn0004428",580
"17","0","FBgn0004430",492
"18","0","FBgn0004554",656
"19","0","FBgn0004780",796
"20","0","FBgn0004782",910
"21","0","FBgn0004783",820
"22","0","FBgn0010019",2279
"23","0","FBgn0010043",756
"24","0","FBgn0010044",808
"25","0","FBgn0010357",1071
"26","0","FBgn0010358",810
"27","0","FBgn0010359",810
"28","0","FBgn0010425",830
"29","0","FBgn0011283",575
"30","0","FBgn0011554",911
"31","0","FBgn0011555",1047
"32","0","FBgn0011556",947
"33","0","FBgn0011581",2275
"34","0","FBgn0011822",1310
"35","0","FBgn0011834",901
"36","0","FBgn0013279",2386
"37","0","FBgn0013307",1849
"38","0","FBgn0015001",818
"39","0","FBgn0015010",1888
"40","0","FBgn0015572",1929
"41","0","FBgn0016047",8342
"42","0","FBgn0016123",3612
"43","0","FBgn0019940",1542
"44","0","FBgn0020258",2955
"45","0","FBgn0020508",1091
"46","0","FBgn0020639",577
"47","0","FBgn0020641",707
"48","0","FBgn0020644",413
"49","0","FBgn0020645",500
"50","0","FBgn0020765",696
"51","0","FBgn0020880",2226
"52","0","FBgn0020906",866
"53","0","FBgn0023178",680
"54","0","FBgn0024997",2985
"55","0","FBgn0025383",1206
"56","0","FBgn0025583",429
"57","0","FBgn0025643",4308
"58","0","FBgn0025837",2345
"59","0","FBgn0025878",3039
"60","0","FBgn0028532",930
"61","0","FBgn0028533",1299
"62","0","FBgn0028534",1048
"63","0","FBgn0028542",1697
"64","0","FBgn0028871",875
"65","0","FBgn0028872",2278
"66","0","FBgn0028920",1411
"67","0","FBgn0028950",1549
"68","0","FBgn0029573",928
"69","0","FBgn0029639",729
"70","0","FBgn0029762",5612
"71","0","FBgn0029765",701
"72","0","FBgn0029810",2404
"73","0","FBgn0029827",1482
"74","0","FBgn0029851",3244
"75","0","FBgn0029898",8209
"76","0","FBgn0029950",3549
"77","0","FBgn0030005",1223
"78","0","FBgn0030098",892
"79","0","FBgn0030105",595
"80","0","FBgn0030148",3809
"81","0","FBgn0030156",2180
"82","0","FBgn0030158",666
"83","0","FBgn0030237",791
"84","0","FBgn0030262",930
"85","0","FBgn0030304",6176
"86","0","FBgn0030332",1117
"87","0","FBgn0030394",2479
"88","0","FBgn0030537",1954
"89","0","FBgn0030544",799
"90","0","FBgn0030594",3375
"91","0","FBgn0030615",3241
"92","0","FBgn0030729",1296
"93","0","FBgn0030746",5341
"94","0","FBgn0030747",9143
"95","0","FBgn0030748",2540
"96","0","FBgn0030756",1700
"97","0","FBgn0030774",1527
"98","0","FBgn0030775",1099
"99","0","FBgn0030776",1198
"100","0","FBgn0030824",814
"101","0","FBgn0030828",2062
"102","0","FBgn0030832",770
"103","0","FBgn0030837",739
"104","0","FBgn0030929",976
"105","0","FBgn0030947",1682
"106","0","FBgn0030968",1818
"107","0","FBgn0030999",1685
"108","0","FBgn0031000",1146
"109","0","FBgn0031034",2940
"110","0","FBgn0031080",1011
"111","0","FBgn0031249",970
"112","0","FBgn0031277",483
"113","0","FBgn0031324",1036
"114","0","FBgn0031327",2983
"115","0","FBgn0031467",1137
"116","0","FBgn0031514",4735
"117","0","FBgn0031533",1598
"118","0","FBgn0031548",2458
"119","0","FBgn0031562",631
"120","0","FBgn0031579",687
"121","0","FBgn0031580",566
"122","0","FBgn0031653",827
"123","0","FBgn0031654",894
"124","0","FBgn0031690",2687
"125","0","FBgn0031713",1604
"126","0","FBgn0031791",964
"127","0","FBgn0031860",1362
"128","0","FBgn0031910",1321
"129","0","FBgn0031929",1751
"130","0","FBgn0031940",1158
"131","0","FBgn0031942",1017
"132","0","FBgn0031957",2883
"133","0","FBgn0032008",941
"134","0","FBgn0032049",1415
"135","0","FBgn0032068",3318
"136","0","FBgn0032069",3592
"137","0","FBgn0032085",1898
"138","0","FBgn0032131",2308
"139","0","FBgn0032144",1350
"140","0","FBgn0032181",1182
"141","0","FBgn0032187",11632
"142","0","FBgn0032281",563
"143","0","FBgn0032304",1263
"144","0","FBgn0032436",1298
"145","0","FBgn0032615",1461
"146","0","FBgn0032663",1520
"147","0","FBgn0033124",2181
"148","0","FBgn0033129",1359
"149","0","FBgn0033138",1462
"150","0","FBgn0033221",783
"151","0","FBgn0033294",2070
"152","0","FBgn0033308",971
"153","0","FBgn0033423",2234
"154","0","FBgn0033501",4591
"155","0","FBgn0033587",523
"156","0","FBgn0033588",471
"157","0","FBgn0033598",817
"158","0","FBgn0033614",741
"159","0","FBgn0033645",2270
"160","0","FBgn0033724",1476
"161","0","FBgn0033726",804
"162","0","FBgn0033728",2893
"163","0","FBgn0033729",1114
"164","0","FBgn0033730",731
"165","0","FBgn0033782",6078
"166","0","FBgn0033788",2562
"167","0","FBgn0033826",1266
"168","0","FBgn0033869",10455
"169","0","FBgn0034011",1129
"170","0","FBgn0034053",4403
"171","0","FBgn0034128",1635
"172","0","FBgn0034197",1855
"173","0","FBgn0034247",2006
"174","0","FBgn0034279",2182
"175","0","FBgn0034289",2139
"176","0","FBgn0034291",1028
"177","0","FBgn0034292",1099
"178","0","FBgn0034294",2089
"179","0","FBgn0034295",1517
"180","0","FBgn0034296",1002
"181","0","FBgn0034318",677
"182","0","FBgn0034329",430
"183","0","FBgn0034382",1110
"184","0","FBgn0034470",992
"185","0","FBgn0034475",651
"186","0","FBgn0034480",1384
"187","0","FBgn0034499",3575
"188","0","FBgn0034582",1295
"189","0","FBgn0034588",2312
"190","0","FBgn0034661",1575
"191","0","FBgn0034664",910
"192","0","FBgn0034755",756
"193","0","FBgn0034783",1931
"194","0","FBgn0034828",609
"195","0","FBgn0034900",580
"196","0","FBgn0034901",581
"197","0","FBgn0035006",1957
"198","0","FBgn0035022",602
"199","0","FBgn0035154",2017
"200","0","FBgn0035193",1187
"201","0","FBgn0035265",2254
"202","0","FBgn0035280",2529
"203","0","FBgn0035313",1747
"204","0","FBgn0035325",1247
"205","0","FBgn0035359",1825
"206","0","FBgn0035543",4960
"207","0","FBgn0035548",883
"208","0","FBgn0035554",895
"209","0","FBgn0035607",3874
"210","0","FBgn0035611",1792
"211","0","FBgn0035638",2139
"212","0","FBgn0035665",934
"213","0","FBgn0035666",895
"214","0","FBgn0035667",951
"215","0","FBgn0035718",1899
"216","0","FBgn0035736",1075
"217","0","FBgn0035737",638
"218","0","FBgn0035743",771
"219","0","FBgn0035779",1628
"220","0","FBgn0035780",1602
"221","0","FBgn0035785",2460
"222","0","FBgn0035788",956
"223","0","FBgn0035792",678
"224","0","FBgn0035817",760
"225","0","FBgn0035845",5204
"226","0","FBgn0035926",402
"227","0","FBgn0035929",625
"228","0","FBgn0035980",891
"229","0","FBgn0035985",1378
"230","0","FBgn0036024",901
"231","0","FBgn0036102",1161
"232","0","FBgn0036106",1688
"233","0","FBgn0036110",521
"234","0","FBgn0036131",498
"235","0","FBgn0036226",1574
"236","0","FBgn0036227",2387
"237","0","FBgn0036229",2698
"238","0","FBgn0036320",1204
"239","0","FBgn0036321",4206
"240","0","FBgn0036362",1056
"241","0","FBgn0036393",565
"242","0","FBgn0036394",749
"243","0","FBgn0036419",540
"244","0","FBgn0036422",1957
"245","0","FBgn0036467",544
"246","0","FBgn0036596",1239
"247","0","FBgn0036597",837
"248","0","FBgn0036598",575
"249","0","FBgn0036602",635
"250","0","FBgn0036610",694
"251","0","FBgn0036627",2295
"252","0","FBgn0036639",1136
"253","0","FBgn0036711",1038
"254","0","FBgn0036766",728
"255","0","FBgn0036806",2061
"256","0","FBgn0036831",1679
"257","0","FBgn0036833",1679
"258","0","FBgn0036835",674
"259","0","FBgn0036871",513
"260","0","FBgn0036873",562
"261","0","FBgn0036878",781
"262","0","FBgn0036879",771
"263","0","FBgn0036947",1196
