"","seqnames","start","end","width","strand","fb_t_id","score","nr_ctss","dominant_ctss","tpm.dominant_ctss","q_0.1","q_0.9","interquantile_width","fb_g_id","gene_name","new_start","cage_sig","TPM","cluster"
"1","chrX",756238,756238,1,"+","FBtr0070134",3.24376457152598,1,756238,3.24376457152598,1,1,1,"FBgn0040383","CG5254",756238,27.1790931820869,23.9685215,"1"
"2","chrX",2222290,2222290,1,"-","FBtr0070420",8.77192616333247,1,2222290,8.77192616333247,1,1,1,"FBgn0004397","Vinc",6667162,175.962716281414,81.3585275,"1"
"3","chrX",2658772,2658772,1,"+","FBtr0070471",2.96759962770055,1,2658772,2.96759962770055,1,1,1,"FBgn0003371","sgg",5317544,50.3251606225967,35.8703765,"1"
"4","chrX",3134872,3134872,1,"+","FBtr0070507",5.05149727954562,1,3134872,5.05149727954562,1,1,1,"FBgn0004647","N",6269744,22.3569969534874,3.363618,"1"
"5","chrX",7307942,7307942,1,"+","FBtr0071048",3.33541352076093,1,7307942,3.33541352076093,1,1,1,"FBgn0024250","brk",7307942,31.6504934430122,13.2093535,"1"
"6","chrX",8681556,8681556,1,"+","FBtr0071222",3.17532390359175,1,8681556,3.17532390359175,1,1,1,"FBgn0030056","CAH3",17363112,60.6707513928413,105.165584,"1"
"7","chrX",8410095,8410095,1,"-","FBtr0071248",3.11249314407,1,8410095,3.11249314407,1,1,1,"FBgn0262976","lawc",25230285,87.5868205726147,13.0307705,"1"
"8","chrX",8891803,8891803,1,"-","FBtr0071269",19.9904711330386,2,8891803,18.4483319977458,1,1,1,"FBgn0011661","Moe",26675409,742.778333097696,431.0654145,"1"
"9","chrX",9585892,9585892,1,"+","FBtr0071361",15.5490359932583,3,9585892,12.9165853544729,18,18,1,"FBgn0001186","Hex-A",19171784,297.479560434818,109.550343,"1"
"10","chr2R",22646338,22646338,1,"-","FBtr0071933",3.86665941487693,1,22646338,3.86665941487693,1,1,1,"FBgn0034753","CG2852",45292676,91.2691503167152,560.8913565,"1"
"11","chr2R",23908445,23908445,1,"+","FBtr0072136",2.34809182736084,1,23908445,2.34809182736084,1,1,1,"FBgn0261794","kcc",47816890,46.0291103124619,5.471393,"1"
"12","chr2R",25011434,25011434,1,"-","FBtr0072398",6.78227410130418,1,25011434,6.78227410130418,1,1,1,"FBgn0265434","zip",175080038,777.278227746487,104.3190975,"1"
"13","chr2R",24768169,24768169,1,"-","FBtr0072436",2.62816766281008,1,24768169,2.62816766281008,1,1,1,"FBgn0027590","GstE12",74304507,73.6465790569782,202.990196,"1"
"14","chr3L",271640,271640,1,"+","FBtr0072506",5.2954963469008,1,271640,5.2954963469008,1,1,1,"FBgn0029002","miple2",814920,142.032685339451,216.231744,"1"
"15","chr3L",543061,543061,1,"+","FBtr0072551",12.1813726613525,1,543061,12.1813726613525,1,1,1,"FBgn0035142","Hipk",1086122,290.027237892151,56.431669,"1"
"16","chr3L",1177274,1177274,1,"-","FBtr0072639",9.08997204813103,1,1177274,9.08997204813103,1,1,1,"FBgn0025525","bab2",2354548,202.966455459595,9.927503,"1"
"17","chr3L",1755663,1755663,1,"-","FBtr0072795",2.27345544174358,1,1755663,2.27345544174358,1,1,1,"FBgn0022702","Cht2",3511447,19.9021108150482,143.1353235,"1"
"18","chr3L",1970075,1970075,1,"-","FBtr0072853",6.93328462940276,1,1970075,6.93328462940276,1,1,1,"FBgn0027547","CG1927",1970075,68.8683154582977,170.211281,"1"
"19","chr3L",2174367,2174367,1,"-","FBtr0072913",6.67947162776906,1,2174367,6.67947162776906,1,1,1,"FBgn0035312","CG15820",2174367,65.2736622691154,35.1345675,"1"
"20","chr3L",2170964,2170964,1,"-","FBtr0072915",2.16852138657837,1,2170964,2.16852138657837,1,1,1,"FBgn0026570","CG5704",4341928,30.5107238292694,40.313846,"1"
"21","chr3L",2488805,2488805,1,"+","FBtr0072921",3.5022274931714,1,2488805,3.5022274931714,1,1,1,"FBgn0035346","CG1146",4977610,61.3721463680267,4.99145,"1"
"22","chr3L",3035198,3035198,1,"+","FBtr0072981",3.44978027954196,1,3035198,3.44978027954196,1,1,1,"FBgn0035388","CG2162",6070396,79.5207672715187,62.043479,"1"
"23","chr3L",3070825,3070825,1,"-","FBtr0073004",3.68706660493425,1,3070825,3.68706660493425,1,1,1,"FBgn0266918","CG32486",3070825,29.0640951693058,36.0584815,"1"
"24","chrX",11558635,11558635,1,"-","FBtr0073543",8.73310057400786,1,11558635,8.73310057400786,1,1,1,"FBgn0030309","CG1572",34675905,232.468931138515,480.125341,"1"
"25","chrX",12583189,12583189,1,"-","FBtr0073662",4.09718010240012,1,12583189,4.09718010240012,1,1,1,"FBgn0030400","Pits",37749567,141.901170372963,2.4869995,"1"
"26","chrX",13090406,13090406,1,"-","FBtr0073747",2.16191898945151,1,13090406,2.16191898945151,1,1,1,"FBgn0010303","hep",91632842,165.09107452631,15.229554,"1"
"27","chrX",15024438,15024438,1,"+","FBtr0073956",5.52109605367887,1,15024438,5.52109605367887,1,1,1,"FBgn0052594","be",45073314,220.808217823505,14.212265,"1"
"28","chrX",15583161,15583161,1,"+","FBtr0074047",3.54867385757352,1,15583161,3.54867385757352,1,1,1,"FBgn0030660","CG8097",31166322,64.9668009877205,3.126974,"1"
"29","chrX",15812329,15812329,1,"+","FBtr0074099",2.625030445025,1,15812329,2.625030445025,1,1,1,"FBgn0003345","sd",189747948,281.961168766022,1.1468055,"1"
"30","chrX",15868214,15868214,1,"+","FBtr0074112",4.31332117648447,1,15868214,4.31332117648447,1,1,1,"FBgn0001092","Gapdh2",31736428,97.4940402507782,22.105295,"1"
